name,address,lat,lng,rating,user_ratings_total,types,distance_from_ha_salon_km,name_english
Toto,"Berkovitch Street 4, Tel Aviv-Yafo",32.0785473,34.7873849,4.2,1978.0,"restaurant, food, point_of_interest, establishment",0.9560856051787727,Toto
BBB יגאל אלון,"Yigal Alon Street 96, Tel Aviv-Yafo",32.0690556,34.7941389,3.9,3051.0,"restaurant, food, point_of_interest, establishment",2.1862519917014103,BBB Yigal Alon
Uno Italiano Gungo,"Weizmann Street 2, Tel Aviv-Yafo",32.07756680000001,34.7891393,3.9,1523.0,"restaurant, food, point_of_interest, establishment",1.1350090331948695,Uno Italiano Gungo
ג׳פניקה קוויק גבעתיים | JAPANIKA QUICK GIVAATAYIM,"HaShalom Road 53, Giv'atayim",32.0670236,34.803109,3.8,1877.0,"meal_takeaway, restaurant, food, point_of_interest, establishment",2.8741585269872147,Japanika Quick Giv'atayim
Dixie,"Yigal Alon Street 120, Tel Aviv-Yafo",32.0736794,34.79577039999999,4.2,7525.0,"bar, restaurant, food, point_of_interest, establishment",1.8618919056838583,Dixie
ריבר סושי רמת גן River,"Zeev Jabotinsky Street 7, Ramat Gan",32.0837559,34.80385160000001,3.8,1163.0,"restaurant, food, point_of_interest, establishment",2.032408335720291,River Sushi Ramat Gan
פאנץ' ליין תל אביב - המלצרים המזמרים - PunchLine TLV,"HaArba'a Street 14, Tel Aviv-Yafo",32.0702542,34.7844629,4.1,690.0,"restaurant, food, point_of_interest, establishment",1.7668579029241334,Punch Line Tel Aviv – Singing Waiters
Onami,"HaArba'a Street 18, Tel Aviv-Yafo",32.0702368,34.7851696,4.2,2854.0,"restaurant, food, point_of_interest, establishment",1.7770067446220397,Onami
ליב liv.,"Ha-Yetsira Street 3, Ramat Gan",32.0845284,34.8023595,4.0,436.0,"restaurant, meal_delivery, food, point_of_interest, establishment",1.882928946852467,Liv
Deda,"Katzenelson Street 113, Giv'atayim",32.0772682,34.8140065,4.3,2236.0,"restaurant, food, point_of_interest, establishment",3.13158052538512,Deda
"Mensa, homemade food","Tuval Street 28, Ramat Gan",32.0867804,34.8031489,4.5,771.0,"restaurant, meal_takeaway, food, point_of_interest, establishment",1.950806218593211,"Mensa, homemade food"
Cafe Nelson,"Katzenelson Street 33, Giv'atayim",32.0753338,34.80492049999999,4.1,2376.0,"restaurant, food, point_of_interest, establishment",2.430183469768409,Cafe Nelson
Tachtit Café,"Lincoln Street 9, Tel Aviv-Yafo",32.0670307,34.78182330000001,4.3,2511.0,"cafe, restaurant, food, point_of_interest, establishment",2.1155243886265254,Tachtit Café
מפגש הסטייק - מסעדה כשרה בתל אביב,"חנייה חינם משעה 4 אחה""צ, בכתובת סעדיה גאון 10, Menakhem Begin Road 37, Tel Aviv-Yafo",32.0655176,34.7828618,3.9,869.0,"restaurant, food, point_of_interest, establishment",2.282599604817439,The Steak Meeting – Kosher Tel Aviv
Domino's Pizza,"Carlebach Street 29, Tel Aviv-Yafo",32.06898690000001,34.7827821,3.3,314.0,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",1.8978271963773916,Domino's Pizza
Porter & Sons,"HaArba'a Street 14, Tel Aviv-Yafo",32.0702542,34.7844629,4.5,4777.0,"restaurant, bar, food, point_of_interest, establishment",1.7668579029241334,Porter & Sons
Go Noodles,"Yitzhak Sadeh Street 8, Tel Aviv-Yafo",32.0652061,34.7855969,3.9,541.0,"restaurant, food, point_of_interest, establishment",2.3352631155705903,Go Noodles
Domino Pizza,"Laskov Street 4, Tel Aviv-Yafo",32.0712598,34.7824498,4.6,785.0,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",1.64560970145703,Domino Pizza
Sora,"HaShalom Road 53, Giv'atayim",32.0671419,34.80316179999999,3.8,1404.0,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",2.8679052791274713,Sora
פרגו פיצה בתל אביב,"Carlebach Street 12, Tel Aviv-Yafo",32.0699421,34.7829489,3.9,161.0,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",1.7922212439866674,Fargo Pizza Tel Aviv
Mystic Pizza Douplus,"Katzenelson Street 9, Giv'atayim",32.0754287,34.8027047,4.2,156.0,"restaurant, food, point_of_interest, establishment",2.244754096596827,Mystic Pizza Douplus
Pizza Prego,"Katzenelson Street 28, Giv'atayim",32.0750408,34.8048763,3.6,353.0,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",2.4427012940467367,Pizza Prego
Suduch,"HaShalom Road 51, Giv'atayim",32.0678388,34.8028111,4.4,1546.0,"restaurant, food, point_of_interest, establishment",2.788875207816267,Suduch
Domino's Pizza,"Yigal Alon Street 90, Tel Aviv-Yafo",32.0673618,34.7932855,3.1,368.0,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",2.3139543309377597,Domino's Pizza
McDonald's,"Nakhalat Yitskhak Street 20, Tel Aviv-Yafo",32.0739817,34.79811360000001,2.7,204.0,"restaurant, food, point_of_interest, establishment",1.9946657863883308,McDonald's
Oshi Oshi,"עזריאלי גבעתיים, Derech Yitshak Rabin 53, Giv'atayim",32.06644849999999,34.8107108,4.0,317.0,"restaurant, food, point_of_interest, establishment",3.44134926194099,Oshi Oshi
Shnitzel Company,"Abba Hillel Silver Road 7, Ramat Gan",32.08454569999999,34.8029456,4.1,239.0,"restaurant, food, point_of_interest, establishment",1.9378575590287714,Shnitzel Company
